Voltage (V),TMR_Ratio,TMR_Error,I_apar (A),I_apar_error (A),I_par (A),I_par_error (A)
-0.4472361809045226,2.780930552591583,0.0056150152547968,-1.427139676765488e-07,2.1610532038006592e-10,-3.968776329932821e-07,5.300735358433881e-10
-0.4371859296482412,2.774484812843464,0.0056037472729314,-1.3731373122850438e-07,2.0543771224282798e-10,-3.809748618883546e-07,5.169185245054202e-10
-0.4271356783919597,2.7623006676456483,0.0055710093969868,-1.2953540695518613e-07,1.9006193544196627e-10,-3.578157411160614e-07,4.951110516629133e-10
-0.4170854271356783,2.7521586501303705,0.0056048415225149,-1.245616544003777e-07,1.8397454172434543e-10,-3.428134346325492e-07,4.806702981334601e-10
-0.4070351758793971,2.734146522603348,0.0056655890666102,-1.1740413694445518e-07,1.757108964341359e-10,-3.210001127659294e-07,4.6004333360120374e-10
-0.3969849246231156,2.720771132950154,0.0056286194521802,-1.1276377689928859e-07,1.6584938759177746e-10,-3.0680442903001577e-07,4.46356050235448e-10
-0.3869346733668342,2.6985488032933973,0.0056401751047581,-1.060903157704403e-07,1.560773934422344e-10,-2.862898946633403e-07,4.2502887620935856e-10
-0.3768844221105527,2.6819135793352027,0.0056191194429962,-1.0180039896250888e-07,1.4857411110121368e-10,-2.730198723592938e-07,4.104193185236571e-10
-0.3668341708542713,2.655031524477665,0.005555556710098,-9.557830278354754e-08,1.358738959805977e-10,-2.537634069463901e-07,3.8962920631477567e-10
-0.35678391959799,2.636094414573573,0.0054954870674548,-9.159967851481957e-08,1.2716136368316027e-10,-2.414654009096508e-07,3.7554093046984333e-10
-0.3467336683417086,2.606098554542368,0.005530310779354,-8.576981470157209e-08,1.209600986982267e-10,-2.2352459011713378e-07,3.5442919216585874e-10
-0.3366834170854271,2.5849750000003824,0.0055290740351115,-8.200513465188237e-08,1.1608804503193615e-10,-2.1198122294678099e-07,3.3990003804937846e-10
-0.3266331658291457,2.552732911006178,0.0055315884283454,-7.656659835489052e-08,1.092430647407461e-10,-1.954540755043205e-07,3.1876990699266136e-10
-0.3165829145728642,2.5018989811763586,0.0100342604245821,-7.187256360146163e-08,2.5842742510023357e-10,-1.7981789364902985e-07,3.1948899452924424e-10
-0.306532663316583,2.4970590264269505,0.0055064991519317,-6.791229148695399e-08,9.692307242420919e-11,-1.695810004628366e-07,2.850795687552893e-10
-0.2964824120603015,2.46247653931032,0.0055132389408797,-6.2979525420416e-08,9.154541882268892e-11,-1.5508560380467225e-07,2.6409194985364664e-10
-0.2864321608040201,2.4395051399195107,0.0054916477894378,-5.980009491419174e-08,8.723197936393259e-11,-1.4588263891084536e-07,2.5012436405827753e-10
-0.2763819095477386,2.405698514000618,0.0054668758682834,-5.516475525719781e-08,8.122505373379304e-11,-1.3270976974744857e-07,2.29711744339558e-10
-0.2663316582914572,2.3831281912138267,0.0054702363882758,-5.2182127406909e-08,7.799721276787721e-11,-1.243566989009165e-07,2.1663447476613116e-10
