df_index,H,A,A_err,V_peak,V_peak_err,V0_gauss,V0_gauss_err,slope,slope_err,intercept,intercept_err,chi2,n_points,V_peak_rough,abs_H,fwhm_meas_V,fwhm_meas_err,V_left_meas,V_right_meas,height_meas,sigma_noise,fwhm_fit_V,fwhm_fit_err_V,Phi_eV,Phi_err_eV,Phi_err_stat_eV,Phi_err_floor_eV,Phi_err_repeat_eV,window,Phi_meV,Phi_meV_err,Phi_err_stat_meV,Phi_err_repeat_meV,Phi_err_floor_meV,fwhm_fit_meV,fwhm_fit_meV_err,fwhm_meas_meV,fwhm_meas_meV_err
20,0.3599712606584031,0.10326943970639475,0.18158158122627865,0.600209627385972,0.12213674033075915,0.5780207603552305,0.46299173661593784,0.06557103153162315,1.077876100026673,1.6245597905391147,0.7224735939125786,1.273265134692841,90,0.6005192533122246,0.3599712606584031,0.013342861629770497,0.0117980169031805,0.59660424021667,0.6099471018464405,0.21452729184685052,0.0956388934038862,0.43860059154111514,0.2814727292577634,0.600209627385972,0.12213674033075915,0.12213674033075915,0.06396141642786075,0.012965954061886527,spinflip,600.209627385972,122.13674033075915,122.13674033075915,12.965954061886528,63.961416427860755,438.60059154111514,281.4727292577634,13.342861629770496,11.7980169031805
21,0.3599712606584031,0.10891357597563694,0.17163780602180215,0.6032758549544086,0.11437604641332147,0.5879980976581481,0.43997221479710646,0.047760102020729354,1.0658005900580085,1.6310468781235483,0.6923764081372653,1.9525199725722895,90,0.6017983737458916,0.3599712606584031,0.013054416296785498,0.010870282584394639,0.6054569684139982,0.6185113847107837,0.21825684298716513,0.09765864246128567,0.43860059154111514,0.2814727292577634,0.6032758549544086,0.11437604641332147,0.11437604641332147,0.06396141642786075,0.012965954061886527,spinflip,603.2758549544086,114.37604641332148,114.37604641332148,12.965954061886528,63.961416427860755,438.60059154111514,281.4727292577634,13.054416296785497,10.870282584394639
22,0.3000423746739783,0.14662225332079937,0.3932416187415471,0.575653709528432,0.1120759214343985,0.4968640405274272,0.31033740339804744,0.3045023140022645,1.3225391816078242,1.4684816765233575,1.0176736616383983,0.6812223245815504,90,0.5845952599448898,0.3000423746739783,0.014421823543964485,0.006927709215303392,0.5958726441307102,0.6102944676746747,0.23462165002145147,0.05629237736393992,0.43860059154111514,0.2814727292577634,0.575653709528432,0.15263219095776642,0.1120759214343985,0.06396141642786075,0.15263219095776642,spinflip,575.6537095284319,152.63219095776643,112.0759214343985,152.63219095776643,63.961416427860755,438.60059154111514,281.4727292577634,14.421823543964486,6.927709215303392
23,0.3000423746739783,0.28671981133672975,0.6804482165297675,0.8947193940839678,0.11053092180422754,0.8838513693080634,1.5706092964437424,0.08971408803284084,12.111644189979645,1.3534211146748203,10.725346130889212,1.2775895983448984,45,0.9720301218436873,0.3000423746739783,,,,0.9446402637338749,0.4194052122883182,0.10507861667151107,0.43860059154111514,0.2814727292577634,0.8947193940839678,0.15263219095776642,0.11053092180422754,0.06396141642786075,0.15263219095776642,spinflip,894.7193940839678,152.63219095776643,110.53092180422753,152.63219095776643,63.961416427860755,438.60059154111514,281.4727292577634,,
24,0.23991353630005957,0.14234694154196917,0.2142049391711861,0.6980832489971942,0.20489541602434003,0.60317514736268,0.3477800527991084,0.34198089174436447,1.123878792512015,1.7086835159613107,0.6095112523645556,0.9955520288782411,89,0.5792184589178356,0.23991353630005957,0.013611996534391602,0.010182701175295879,0.6967028122321343,0.7103148087665259,0.25094102984811983,0.09215559307323445,0.43860059154111514,0.2814727292577634,0.6980832489971942,0.20489541602434003,0.20489541602434003,0.06396141642786075,0.01850588485148398,AFM,698.0832489971942,204.89541602434002,204.89541602434002,18.50588485148398,63.961416427860755,438.60059154111514,281.4727292577634,13.6119965343916,10.182701175295879
25,0.23991353630005957,0.27377584858924736,0.5933760232834816,0.6937842496106212,0.06274135745518274,0.608158606847117,0.17831020129040642,0.6080368172950038,1.6065815251891513,1.4146674050585974,1.5434185640686786,3.5348408637083164,90,0.7213149539342686,0.23991353630005957,0.016580130337520704,0.012073466281211625,0.5611379944435017,0.5777181247810224,0.4919332364849258,0.1545294857591903,0.43860059154111514,0.2814727292577634,0.6937842496106212,0.06396141642786075,0.06274135745518274,0.06396141642786075,0.01850588485148398,AFM,693.7842496106213,63.961416427860755,62.74135745518274,18.50588485148398,63.961416427860755,438.60059154111514,281.4727292577634,16.580130337520703,12.073466281211624
26,0.17998467740338342,0.21667801520510943,0.29605707706008166,0.6226043067767535,0.06067134830147953,0.5889922774629973,0.22982288362676576,0.20650601968318238,1.1569942985536348,1.968552102999069,0.8752421109688603,4.369517986340066,89,0.6232816736446893,0.17998467740338342,0.07237368270611455,0.02290222792620764,0.5352951627594791,0.6076688454655936,0.3621558220690665,0.17765272060600265,0.43860059154111514,0.2814727292577634,0.6226043067767535,0.06396141642786075,0.06067134830147953,0.06396141642786075,0.023011077701526966,AFM,622.6043067767534,63.961416427860755,60.671348301479526,23.011077701526965,63.961416427860755,438.60059154111514,281.4727292577634,72.37368270611455,22.90222792620764
27,0.17998467740338342,0.1987599842830526,0.26317067513670095,0.628808391372069,0.06074705888785742,0.6221042925279882,0.2417445449175686,0.03836122183445546,1.0921405083650086,2.0873576608284683,0.8305009105762994,1.0935797106547573,90,0.6482261755527053,0.17998467740338342,0.13132406063399915,0.11060639853620835,0.5914652318748455,0.7227892925088446,0.3417894215884919,0.10252478192489119,0.43860059154111514,0.2814727292577634,0.628808391372069,0.06396141642786075,0.06074705888785742,0.06396141642786075,0.023011077701526966,AFM,628.808391372069,63.961416427860755,60.74705888785742,23.011077701526965,63.961416427860755,438.60059154111514,281.4727292577634,131.32406063399915,110.60639853620835
28,0.12005584117401369,0.23909067317561586,0.32155910634387724,0.6216299122427105,0.055412985502104176,0.5786203378953959,0.20264093420414417,0.28872112589959364,1.133011233557277,1.9094501334073848,0.8793466509584419,1.115682832477127,90,0.6176192883307616,0.12005584117401369,0.15817775488797997,0.14937934580622111,0.450474482502172,0.608652237390152,0.37876827956963677,0.1356717974000309,0.43860059154111514,0.2814727292577634,0.6216299122427105,0.06396141642786075,0.055412985502104176,0.06396141642786075,0.03446458828528359,AFM,621.6299122427105,63.961416427860755,55.41298550210418,34.46458828528359,63.961416427860755,438.60059154111514,281.4727292577634,158.17775488797997,149.37934580622112
29,0.12005584117401369,0.23914950640749844,0.3305888791931508,0.6202322104727455,0.05555358753766095,0.5786590423286898,0.20292983141816734,0.2794215403394623,1.1482104573382519,1.9156156710871297,0.9046344270649403,1.0916955199838938,90,0.6205508528932865,0.12005584117401369,0.18856531395064224,0.12412256660562282,0.4483325490144252,0.6368978629650675,0.37520294473455507,0.07351205011786975,0.43860059154111514,0.2814727292577634,0.6202322104727455,0.06396141642786075,0.05555358753766095,0.06396141642786075,0.03446458828528359,AFM,620.2322104727455,63.961416427860755,55.55358753766095,34.46458828528359,63.961416427860755,438.60059154111514,281.4727292577634,188.56531395064223,124.12256660562282
30,0.05992822123173689,0.2457028754238187,0.35279738086116,0.6306604481555611,0.0558158230760676,0.5801552863243941,0.19842496815262606,0.34486971236318636,1.1783425952429167,1.8490443949088267,0.95558240466905,2.2044639065839924,90,0.629002105735471,0.05992822123173689,0.03629997713321398,0.02313455682820096,0.5410442176860256,0.5773441948192396,0.38530791611090975,0.12942721089171694,0.43860059154111514,0.2814727292577634,0.6306604481555611,0.06396141642786075,0.0558158230760676,0.06396141642786075,0.006512148225523867,AFM,630.6604481555611,63.961416427860755,55.815823076067595,6.512148225523867,63.961416427860755,438.60059154111514,281.4727292577634,36.29997713321398,23.13455682820096
