Voltage (V),TMR_Ratio,TMR_Error,I_apar (A),I_apar_error (A),I_par (A),I_par_error (A)
-0.3969849246231155,2.7803478772325443,0.19413042438838696,-6.423006847719642e-11,4.43788867652428e-12,-1.78581934545074e-10,1.7967752087322658e-12
-0.3869346733668342,2.5817472761236595,0.14867997192828572,-6.138776969976831e-11,3.4763161922130555e-12,-1.5848770720968335e-10,1.6596542667430425e-12
-0.37688442211055273,2.4030314371070682,0.12691558057206992,-5.877281120863083e-11,3.028631096640246e-12,-1.4123291298149856e-10,1.6345278583441304e-12
-0.3668341708542714,2.312278687292032,0.12755614810450921,-5.772234432724604e-11,3.1098796620675282e-12,-1.3347014656842314e-10,1.5818492038090978e-12
-0.35678391959798994,2.1215279800025844,0.1278879652217385,-5.629373723306124e-11,3.327297957315925e-12,-1.1942873863885268e-10,1.4145467339302512e-12
-0.3467336683417085,1.9406651583552657,0.1286330970823728,-5.538577763351505e-11,3.6119116853319514e-12,-1.0748524892177502e-10,1.2745419389369242e-12
-0.33668341708542715,1.8113983899447805,0.10834165352546525,-5.4033495415572626e-11,3.1618959907882326e-12,-9.787618659885693e-11,1.21099572532167e-12
-0.3266331658291457,1.7502260133293301,0.10861220488610428,-5.3446051540527855e-11,3.2428438556783216e-12,-9.354266971597197e-11,1.2178293201794338e-12
-0.31658291457286436,1.5976307586233807,0.1168179098414771,-5.337928462888783e-11,3.8298761605591964e-12,-8.528038699642343e-11,1.2019066850152183e-12
-0.3065326633165829,1.4766382443385164,0.11899878361483913,-5.2921038669274976e-11,4.194070385154908e-12,-7.814522962916894e-11,1.1420185729138794e-12
-0.29648241206030146,1.4350959425941758,0.11331548010095373,-5.236315771690681e-11,4.0645596155004636e-12,-7.514615518095186e-11,1.0875738626855065e-12
-0.2864321608040201,1.3801393705509009,0.11142362248481394,-5.0821594912550564e-11,4.033968948062382e-12,-7.01408840130004e-11,1.034450094975338e-12
-0.27638190954773867,1.3233096455873221,0.10384859473402758,-4.991066914798101e-11,3.8290041519505185e-12,-6.604726990124085e-11,1.0913335130357826e-12
-0.26633165829145733,1.2970151167373727,0.09980770021028096,-4.948859539545524e-11,3.71112334502807e-12,-6.418745633400499e-11,1.1083553374495507e-12
-0.2562814070351759,1.2323539544833313,0.10525578511306956,-4.911783026166815e-11,4.110558534412229e-12,-6.053055235860778e-11,1.033099102661805e-12
-0.24623115577889443,1.1796184186646157,0.09970729591903801,-4.882511734394606e-11,4.042883029682152e-12,-5.759500771237996e-11,9.775702600583922e-13
-0.2361809045226131,1.1523125649948405,0.09345642238401675,-4.9025282256352114e-11,3.8807000989661525e-12,-5.649244874641314e-11,9.977048630622611e-13
-0.22613065326633164,1.106472780113558,0.08274968506740189,-4.9508619661275585e-11,3.572871879199254e-12,-5.477994003619636e-11,1.0749372155992093e-12
-0.2160804020100502,1.0944547657992696,0.08543537710978832,-4.854068577833695e-11,3.6532025307820535e-12,-5.31255848852657e-11,1.101021335267089e-12
