df_index,H,A,A_err,V_peak,V_peak_err,V0_gauss,V0_gauss_err,slope,slope_err,intercept,intercept_err,chi2,n_points,V_peak_rough,abs_H,fwhm_meas_V,fwhm_meas_err,V_left_meas,V_right_meas,height_meas,sigma_noise,fwhm_fit_V,fwhm_fit_err_V,Phi_eV,Phi_err_eV,Phi_err_stat_eV,Phi_err_floor_eV,Phi_err_repeat_eV,window,Phi_meV,Phi_meV_err,Phi_err_stat_meV,Phi_err_repeat_meV,Phi_err_floor_meV,fwhm_fit_meV,fwhm_fit_meV_err,fwhm_meas_meV,fwhm_meas_meV_err
16,1.8285900000273434,0.6243842426871594,0.015673104887880998,0.5741816851588177,0.0014708206131415287,0.5396041153672183,0.004275997588176513,0.7956029438501712,0.07636057595217416,1.5320952925318712,0.05224609138410646,0.007295827967228817,90,0.5756686855005011,1.8285900000273434,0.5585689457529666,0.005484947075883291,0.17472367662947078,0.7332926223824373,0.6278968620268319,0.007490787857095819,0.38349925946104946,0.00350047256056184,0.5741816851588177,0.0025537607302363366,0.0014708206131415287,0.0019355738829970636,0.0025537607302363366,canting,574.1816851588177,2.5537607302363368,1.4708206131415287,2.5537607302363368,1.9355738829970637,383.49925946104946,3.5004725605618403,558.5689457529666,5.484947075883292
17,1.8285900000273434,0.6343905177547076,0.015835900965868472,0.5729805030035071,0.0014613702341027812,0.5351656023667527,0.004209257645827395,0.880608986761988,0.07648821293117299,1.4780262549261203,0.0521506392777599,0.006813885737304317,90,0.5743768081553107,1.8285900000273434,0.5769333301147723,0.005225725315633317,0.14897086883465122,0.7259041989494235,0.6390122769240978,0.007577101184321955,0.38349925946104946,0.00350047256056184,0.5729805030035071,0.0025537607302363366,0.0014613702341027812,0.0019355738829970636,0.0025537607302363366,canting,572.9805030035071,2.5537607302363368,1.4613702341027812,2.5537607302363368,1.9355738829970637,383.49925946104946,3.5004725605618403,576.9333301147723,5.2257253156333165
18,1.5999600000312508,0.5954473715547345,0.015311962257984903,0.6028657535553608,0.0015413446991342876,0.5682858467123832,0.004481142656281484,0.7589461275678593,0.07614791374951654,1.5951960101827616,0.05394915420221554,0.007968300848904515,90,0.6063878583987976,1.5999600000312508,0.5329598009709772,0.006180551549675964,0.22762971974136145,0.7605895207123387,0.5976299635292424,0.007713607758383108,0.38349925946104946,0.00350047256056184,0.6028657535553608,0.0019355738829970636,0.0015413446991342876,0.0019355738829970636,0.0017365636475604068,canting,602.8657535553608,1.9355738829970637,1.5413446991342876,1.7365636475604067,1.9355738829970637,383.49925946104946,3.5004725605618403,532.9598009709772,6.180551549675964
19,1.5999600000312508,0.6073787477683029,0.016049171033304527,0.6017912874519038,0.0015284843009021535,0.5645951962289807,0.004387770506435562,0.8299806407193914,0.0770435890152242,1.5442745778905165,0.055172835717432075,0.00637849581099515,90,0.6063444528547094,1.5999600000312508,0.5516939181617,0.012285631978494863,0.20411144233124326,0.7558053604929432,0.6119659183299143,0.007171006734306923,0.38349925946104946,0.00350047256056184,0.6017912874519038,0.0019355738829970636,0.0015284843009021535,0.0019355738829970636,0.0017365636475604068,canting,601.7912874519038,1.9355738829970637,1.5284843009021536,1.7365636475604067,1.9355738829970637,383.49925946104946,3.5004725605618403,551.6939181617,12.285631978494862
20,1.3715000000364563,0.568355352293722,0.015600165152306035,0.6231622341808117,0.0016151030876073453,0.5892865116081512,0.0046846173412269584,0.7106144652089001,0.07678097463620374,1.7172649911595268,0.05650420694694878,0.04146912282744236,90,0.6288646991508017,1.3715000000364563,0.4117843460169581,0.010966951164690184,0.3628235922766161,0.7746079382935742,0.5725492050590127,0.015184617219063404,0.38349925946104946,0.00350047256056184,0.6231622341808117,0.0019355738829970636,0.0016151030876073453,0.0019355738829970636,0.00029484739599275025,canting,623.1622341808118,1.9355738829970637,1.6151030876073453,0.2948473959927502,1.9355738829970637,383.49925946104946,3.5004725605618403,411.7843460169581,10.966951164690185
21,1.3715000000364563,0.5680955148099802,0.015199159989826162,0.6229004688777555,0.0016224182636277206,0.5916114996269958,0.00484618120393806,0.6582098099897274,0.0787920243060965,1.7496572102855996,0.057077722216000375,0.007959382415039264,89,0.6275117796275551,1.3715000000364563,0.39134240031883794,0.012113216927061316,0.38515990652182297,0.7765023068406609,0.574433960122374,0.00723729241238631,0.38349925946104946,0.00350047256056184,0.6229004688777555,0.0019355738829970636,0.0016224182636277206,0.0019355738829970636,0.00029484739599275025,canting,622.9004688777555,1.9355738829970637,1.6224182636277207,0.2948473959927502,1.9355738829970637,383.49925946104946,3.5004725605618403,391.3424003188379,12.113216927061316
22,1.1429400000437469,0.5505357651336261,0.014715051241766586,0.6403922081347946,0.001647427411632313,0.6096414727973694,0.004843777903318761,0.6268161702700578,0.07576994266155357,1.87990902097369,0.056254104170981624,0.007155332560527322,90,0.6443596868446893,1.1429400000437469,0.3844385645647168,0.007817276135422203,0.41773619217142255,0.8021747567361394,0.5530692420504244,0.00792876034969967,0.38349925946104946,0.00350047256056184,0.6403922081347946,0.0019355738829970636,0.001647427411632313,0.0019355738829970636,0.0016522057397162886,canting,640.3922081347946,1.9355738829970637,1.647427411632313,1.6522057397162886,1.9355738829970637,383.49925946104946,3.5004725605618403,384.4385645647168,7.817276135422203
23,1.1429400000437469,0.5466472228238995,0.014528875506551063,0.6408050424183367,0.0016556822751697894,0.6105971824443843,0.00487963458458948,0.6116795895093056,0.07556263955492183,1.8930656751033663,0.055945050185798116,0.007061006235092203,90,0.6438061149458918,1.1429400000437469,0.37662396358876743,0.006334197599064467,0.4233667841506093,0.7999907477393767,0.5519901191289406,0.008076700034554192,0.38349925946104946,0.00350047256056184,0.6408050424183367,0.0019355738829970636,0.0016556822751697894,0.0019355738829970636,0.0016522057397162886,canting,640.8050424183367,1.9355738829970637,1.6556822751697895,1.6522057397162886,1.9355738829970637,383.49925946104946,3.5004725605618403,376.6239635887674,6.334197599064467
24,0.9143000000546867,0.5525179995203513,0.014351493726296868,0.6600099291563877,0.0016435213290918,0.6280659908677664,0.004831360096584878,0.6531432907214224,0.07528799007332548,1.9519262233833108,0.05674608916245547,0.00788763301139348,90,0.6615204655302604,0.9143000000546867,0.36588847613849224,0.008147193193876023,0.45293185847490564,0.8188203346133979,0.55578359916996,0.008502769116300504,0.38349925946104946,0.00350047256056184,0.6600099291563877,0.00254791662892125,0.0016435213290918,0.0019355738829970636,0.00254791662892125,canting,660.0099291563877,2.54791662892125,1.6435213290918,2.54791662892125,1.9355738829970637,383.49925946104946,3.5004725605618403,365.88847613849225,8.147193193876024
25,0.9143000000546867,0.5584397074573566,0.014780447751034735,0.6590624957573146,0.0016359801766270457,0.6256867661600136,0.00477615379271554,0.6881731796436185,0.07578530775348953,1.9257116386210045,0.05749881063843925,0.008207390578969964,90,0.6608080047178357,0.9143000000546867,0.3727269343901491,0.008973342099273446,0.44650588758255866,0.8192328219727077,0.5575773731071014,0.008196242720121845,0.38349925946104946,0.00350047256056184,0.6590624957573146,0.00254791662892125,0.0016359801766270457,0.0019355738829970636,0.00254791662892125,canting,659.0624957573145,2.54791662892125,1.6359801766270456,2.54791662892125,1.9355738829970637,383.49925946104946,3.5004725605618403,372.7269343901491,8.973342099273445
