H,abs_H,Phi_eV,Phi_err_stat_eV,Phi_err_repeat_eV,Phi_err_floor_eV,n,Phi_err_m2_eV,region,Phi_meV,Phi_err_m2_meV,Phi_err_stat_meV,Phi_err_repeat_meV,Phi_err_floor_meV
-1.142895000393737,1.142895000393737,0.33372290763969503,0.009246048495904362,0.0018234547520187669,0.0033775277399397323,4,0.009246048495904362,canting,333.72290763969505,9.246048495904363,9.246048495904363,1.823454752018767,3.3775277399397323
-0.9142500004922067,0.9142500004922067,0.34266804451283434,0.008165020882020367,0.0031223727585169498,0.0033775277399397323,4,0.009117355132810258,canting,342.66804451283434,9.117355132810259,8.165020882020366,3.1223727585169496,3.3775277399397323
-0.685685000656278,0.685685000656278,0.35526814478128216,0.007093355993884371,0.0019065956091199744,0.0033775277399397323,4,0.007093355993884371,canting,355.26814478128216,7.09335599388437,7.09335599388437,1.9065956091199743,3.3775277399397323
-0.45705500098456425,0.45705500098456425,0.3713323418637528,0.00620575671998226,0.003924409775614907,0.0033775277399397323,4,0.01145931007544021,canting,371.3323418637528,11.45931007544021,6.2057567199822605,3.924409775614907,3.3775277399397323
-0.22850000196936543,0.22850000196936543,0.38024173673856915,0.00656223343023957,0.006033350816607123,0.0033775277399397323,4,0.017617435934191746,canting,380.24173673856916,17.617435934191747,6.56223343023957,6.033350816607123,3.3775277399397323
-0.00018249030281651708,0.00018249030281651708,0.38536250000000005,0.006325210954711243,0.0018501093220261362,0.0033775277399397323,4,0.006325210954711243,AFM,385.36250000000007,6.325210954711243,6.325210954711243,1.8501093220261362,3.3775277399397323
0.2285300019691069,0.2285300019691069,0.3814780910744044,0.006363913116812367,0.0019185231190637748,0.0033775277399397323,4,0.006363913116812367,canting,381.4780910744044,6.363913116812367,6.363913116812367,1.9185231190637748,3.3775277399397323
0.4571350009843919,0.4571350009843919,0.3693446211898318,0.006654333499304385,0.0021153194438346843,0.0033775277399397323,4,0.006654333499304385,canting,369.3446211898318,6.654333499304386,6.654333499304386,2.1153194438346845,3.3775277399397323
0.6856650006562972,0.6856650006562972,0.35710608998808524,0.006824652245415838,0.006625931738894885,0.0033775277399397323,4,0.019347777290357034,canting,357.1060899880852,19.347777290357033,6.824652245415838,6.625931738894885,3.3775277399397323
0.914270000492196,0.914270000492196,0.338805131804719,0.00852053792598643,0.005793512218230889,0.0033775277399397323,4,0.016917105177722363,canting,338.805131804719,16.917105177722362,8.52053792598643,5.793512218230889,3.3775277399397323
1.1428900003937388,1.1428900003937388,0.33387842198727824,0.009093709705220065,0.002429602851849178,0.0033775277399397323,4,0.009093709705220065,canting,333.8784219872782,9.093709705220064,9.093709705220064,2.429602851849178,3.3775277399397323
1.371445000328121,1.371445000328121,0.3318097378558851,0.008848211207940418,0.006274233988499902,0.0033775277399397323,4,0.01832081685425441,canting,331.8097378558851,18.32081685425441,8.848211207940418,6.274233988499902,3.3775277399397323
1.5999050002812667,1.5999050002812667,0.319759907638075,0.008792101916911786,0.006092483466058719,0.0033775277399397323,4,0.01779010377582711,canting,319.759907638075,17.79010377582711,8.792101916911786,6.092483466058718,3.3775277399397323
1.8285300002460994,1.8285300002460994,0.30875027002270256,0.010432649568444639,0.0006952781815602135,0.0033775277399397323,4,0.010432649568444639,canting,308.7502700227026,10.432649568444639,10.432649568444639,0.6952781815602135,3.3775277399397323
2.0571400002187503,2.0571400002187503,0.31344220308976334,0.009363976033639101,0.006507030996282159,0.0033775277399397323,4,0.019000586106025154,FM,313.4422030897633,19.000586106025153,9.363976033639101,6.507030996282158,3.3775277399397323
2.285745000196872,2.285745000196872,0.30745108031170487,0.010787609456507087,0.0009463115139877111,0.0033775277399397323,4,0.010787609456507087,FM,307.45108031170486,10.787609456507088,10.787609456507088,0.9463115139877112,3.3775277399397323
2.5143500001789727,2.5143500001789727,0.30705645609190624,0.010875785385301222,0.0012918188403668283,0.0033775277399397323,4,0.010875785385301222,FM,307.0564560919062,10.875785385301223,10.875785385301223,1.2918188403668283,3.3775277399397323
2.7429000001640595,2.7429000001640595,0.30784039287308074,0.010834235030955701,0.0005279292899759666,0.0033775277399397323,4,0.010834235030955701,FM,307.84039287308076,10.834235030955702,10.834235030955702,0.5279292899759667,3.3775277399397323
2.9715050001514385,2.9715050001514385,0.31352448709456343,0.009655507596873423,0.006424309964807622,0.0033775277399397323,4,0.01875903998734074,FM,313.5244870945634,18.75903998734074,9.655507596873424,6.424309964807622,3.3775277399397323
3.2000350001406233,3.2000350001406233,0.30743604197552965,0.011195154353905083,0.0011591180627309589,0.0033775277399397323,4,0.011195154353905083,FM,307.43604197552963,11.195154353905084,11.195154353905084,1.159118062730959,3.3775277399397323
3.4285600001312506,3.4285600001312506,0.30771126522285247,0.010924787456724988,0.0016636516017433946,0.0033775277399397323,4,0.010924787456724988,FM,307.7112652228525,10.924787456724987,10.924787456724987,1.6636516017433947,3.3775277399397323
