Voltage (V),TMR_Ratio,TMR_Error,I_apar (A),I_apar_error (A),I_par (A),I_par_error (A),temperature,scan_type
-0.6984924623115578,1.6880874482015489,0.0036194851806201,-1.1821857176047166e-06,2.440811524642105e-09,-1.995632871331663e-06,1.1541739391409571e-09,100,b_scan
-0.6884422110552764,1.6978739219868346,0.0036282005228135,-1.143366064564552e-06,2.350297740645838e-09,-1.941291424308868e-06,1.133462791820709e-09,100,b_scan
-0.6783919597989949,1.704532197709787,0.0036329370394359,-1.117888343509358e-06,2.2902810833325208e-09,-1.90547667495616e-06,1.1195469138711275e-09,100,b_scan
-0.6683417085427136,1.7147457526793846,0.00364356325292,-1.080137020324668e-06,2.2035909912909302e-09,-1.8521603679134905e-06,1.1003315414256014e-09,100,b_scan
-0.6582914572864322,1.7216783165387088,0.0036553609414681,-1.0554316753258152e-06,2.150023785767377e-09,-1.8171138299965783e-06,1.087120336035559e-09,100,b_scan
-0.6482412060301508,1.7323119052199405,0.0036642681210976,-1.018780426358141e-06,2.06474865464035e-09,-1.7648454613852546e-06,1.0688796419404948e-09,100,b_scan
-0.6381909547738693,1.739564670539795,0.0036796055150281,-9.947048988203234e-07,2.0144049359029154e-09,-1.7303534996006958e-06,1.0569575253842474e-09,100,b_scan
-0.6281407035175879,1.7505607891650037,0.003682229179412,-9.59237405709058e-07,1.9291509050759963e-09,-1.679203389934639e-06,1.034977919720762e-09,100,b_scan
-0.6180904522613065,1.75801919253485,0.003694376326066,-9.359725216274202e-07,1.879077117308928e-09,-1.6454576567062447e-06,1.021672678604072e-09,100,b_scan
-0.6080402010050251,1.7694244612091503,0.0037089284475642,-9.016238940090972e-07,1.803051550847773e-09,-1.5953553728703428e-06,1.002151651322025e-09,100,b_scan
-0.5979899497487438,1.7772250949433883,0.0037190973051594,-8.790909930273126e-07,1.7534871865294051e-09,-1.5623425735468434e-06,9.88714084492578e-10,100,b_scan
-0.5879396984924623,1.7892052876159108,0.0037335676608212,-8.457805090943599e-07,1.6799211957954832e-09,-1.5132749590341057e-06,9.680860483092407e-10,100,b_scan
-0.5778894472361809,1.7973416712004342,0.0037426871454296,-8.23975179680224e-07,1.631522574294973e-09,-1.480964926474132e-06,9.546379452017088e-10,100,b_scan
-0.5678391959798995,1.80981396841678,0.0037718095936649,-7.917618752913638e-07,1.5672058316268703e-09,-1.4329417015621743e-06,9.34638345114107e-10,100,b_scan
-0.5577889447236181,1.81824244311051,0.0037933171123164,-7.707674022545203e-07,1.526231177708731e-09,-1.4014420045452e-06,9.205727619071335e-10,100,b_scan
-0.5477386934673367,1.831280633442281,0.003816697229686,-7.396681773304914e-07,1.461435519627007e-09,-1.3545400083188795e-06,8.98476614300503e-10,100,b_scan
-0.5376884422110553,1.840154045925116,0.0038338388502076,-7.193324137641653e-07,1.4194944015368844e-09,-1.3236824515532083e-06,8.8457918018745e-10,100,b_scan
-0.5276381909547738,1.8536835768358768,0.0038722794553757,-6.89430429034136e-07,1.362657133116323e-09,-1.2779858636714904e-06,8.641614691811093e-10,100,b_scan
-0.5175879396984925,1.8629436140321327,0.0039074370902048,-6.698426912051255e-07,1.3285857375531155e-09,-1.2478791639866863e-06,8.512306396362755e-10,100,b_scan
-0.507537688442211,1.8771725117035456,0.0039569826163027,-6.410159094124833e-07,1.276614811186646e-09,-1.2032974447137638e-06,8.312140526988658e-10,100,b_scan
-0.4974874371859297,1.886840224679272,0.0039860436310304,-6.221812310658126e-07,1.2410065086598508e-09,-1.1739565738154435e-06,8.170706393883922e-10,100,b_scan
-0.4874371859296482,1.9017454521609447,0.0040418460359934,-5.944299170833014e-07,1.192208673400224e-09,-1.130454391441576e-06,7.94928926352781e-10,100,b_scan
-0.4773869346733668,1.9118960342760465,0.0040847747093032,-5.763346048672868e-07,1.1615879597300855e-09,-1.101891845461818e-06,7.811105332921197e-10,100,b_scan
-0.4673366834170854,1.9275580615737689,0.0041419915455305,-5.496651310889077e-07,1.1129405162369235e-09,-1.0595114545964264e-06,7.624114463868688e-10,100,b_scan
-0.457286432160804,1.93815093727228,0.0041879034367092,-5.323062132932691e-07,1.0837019847827726e-09,-1.0316897862102075e-06,7.469634929489234e-10,100,b_scan
-0.4472361809045225,1.9544768942996065,0.0042750595370781,-5.06739461369945e-07,1.0440744107017135e-09,-9.904105686773857e-07,7.27260437487374e-10,100,b_scan
-0.4371859296482412,1.965638518470316,0.0043327157221718,-4.90086844176414e-07,1.0174354241472115e-09,-9.63333578308719e-07,7.135938160849825e-10,100,b_scan
-0.4271356783919597,1.982708400778032,0.0044067875980541,-4.6567801459549843e-07,9.741492573900959e-10,-9.2330371159613e-07,6.93383857737858e-10,100,b_scan
-0.4170854271356784,1.9944463534531287,0.0044652920231913,-4.49743393802492e-07,9.474736042044864e-10,-8.969890717590145e-07,6.797791862592541e-10,100,b_scan
-0.4070351758793969,2.0124349915953705,0.0045752012920388,-4.264035026730794e-07,9.123708357167767e-10,-8.581093293181351e-07,6.593364572588881e-10,100,b_scan
-0.3969849246231155,2.02471921333467,0.0046532362642966,-4.112004475428086e-07,8.896008951503957e-10,-8.325654466717397e-07,6.456438378315951e-10,100,b_scan
-0.3869346733668342,2.0434886475519463,0.0047842036572961,-3.889355815170217e-07,8.576935188374755e-10,-7.947854454590481e-07,6.24874311142363e-10,100,b_scan
